Season,Region,Rating,Rank,Race
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Random
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Random
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Zerg
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Terran
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Protoss
50,CN,2279,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Random
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Zerg
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Terran
50,CN,2278,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Random
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Zerg
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Terran
50,CN,2276,Silver,Protoss
50,CN,2276,Silver,Zerg
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Random
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Random
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Random
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Random
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Zerg
50,CN,2275,Silver,Protoss
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Terran
50,CN,2275,Silver,Protoss
50,CN,2274,Silver,Protoss
50,CN,2274,Silver,Protoss
50,CN,2274,Silver,Protoss
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Random
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Random
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Random
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Protoss
50,CN,2272,Silver,Random
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Zerg
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Terran
50,CN,2272,Silver,Random
50,CN,2272,Silver,Terran
