Season,Region,Rating,Rank,Race
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Random
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Random
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Random
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Terran
51,EU,2278,Silver,Protoss
51,EU,2278,Silver,Zerg
51,EU,2278,Silver,Zerg
