Season,Region,Rating,Rank,Race
52,US,7350,Grandmaster,Zerg
52,US,7168,Grandmaster,Zerg
52,US,6804,Grandmaster,Terran
52,US,6701,Grandmaster,Zerg
52,US,6612,Grandmaster,Zerg
52,US,6612,Grandmaster,Protoss
52,US,6533,Grandmaster,Protoss
52,US,6524,Grandmaster,Zerg
52,US,6518,Grandmaster,Protoss
52,US,6499,Grandmaster,Protoss
52,US,6499,Grandmaster,Zerg
52,US,6424,Grandmaster,Protoss
52,US,6382,Grandmaster,Protoss
52,US,6321,Grandmaster,Terran
52,US,6300,Grandmaster,Protoss
52,US,6270,Grandmaster,Protoss
52,US,6268,Grandmaster,Protoss
52,US,6254,Grandmaster,Protoss
52,US,6245,Grandmaster,Terran
52,US,6234,Grandmaster,Protoss
52,US,6200,Grandmaster,Protoss
52,US,6196,Grandmaster,Protoss
52,US,6164,Grandmaster,Zerg
52,US,6149,Grandmaster,Terran
52,US,6141,Grandmaster,Protoss
52,US,6114,Grandmaster,Terran
52,US,6108,Grandmaster,Protoss
52,US,6107,Grandmaster,Protoss
52,US,6107,Grandmaster,Protoss
52,US,6101,Grandmaster,Protoss
52,US,6098,Grandmaster,Zerg
52,US,6092,Grandmaster,Terran
52,US,6088,Grandmaster,Terran
52,US,6071,Grandmaster,Terran
52,US,6060,Grandmaster,Zerg
52,US,6058,Grandmaster,Protoss
52,US,6056,Grandmaster,Protoss
52,US,6048,Grandmaster,Terran
52,US,6046,Grandmaster,Terran
52,US,6041,Grandmaster,Terran
52,US,6036,Grandmaster,Zerg
52,US,6028,Grandmaster,Terran
52,US,6027,Grandmaster,Protoss
52,US,6027,Grandmaster,Zerg
52,US,6017,Grandmaster,Zerg
52,US,6016,Grandmaster,Zerg
52,US,6013,Grandmaster,Terran
52,US,6012,Grandmaster,Terran
52,US,6011,Grandmaster,Zerg
52,US,6010,Grandmaster,Zerg
52,US,6001,Grandmaster,Protoss
52,US,6000,Grandmaster,Terran
52,US,5983,Grandmaster,Zerg
52,US,5981,Grandmaster,Zerg
52,US,5971,Grandmaster,Zerg
52,US,5969,Grandmaster,Zerg
52,US,5964,Grandmaster,Protoss
52,US,5954,Grandmaster,Protoss
52,US,5951,Grandmaster,Terran
52,US,5949,Grandmaster,Zerg
52,US,5949,Grandmaster,Zerg
52,US,5940,Grandmaster,Protoss
52,US,5940,Grandmaster,Zerg
52,US,5935,Grandmaster,Protoss
52,US,5934,Grandmaster,Protoss
52,US,5932,Grandmaster,Zerg
52,US,5926,Grandmaster,Zerg
52,US,5921,Grandmaster,Protoss
52,US,5919,Grandmaster,Protoss
52,US,5914,Grandmaster,Protoss
52,US,5913,Grandmaster,Protoss
52,US,5912,Grandmaster,Zerg
52,US,5909,Grandmaster,Zerg
52,US,5903,Grandmaster,Terran
52,US,5900,Grandmaster,Zerg
52,US,5899,Grandmaster,Random
52,US,5894,Grandmaster,Terran
52,US,5884,Grandmaster,Terran
52,US,5882,Grandmaster,Zerg
52,US,5878,Grandmaster,Zerg
52,US,5872,Grandmaster,Zerg
52,US,5871,Grandmaster,Protoss
52,US,5870,Grandmaster,Terran
52,US,5870,Grandmaster,Zerg
52,US,5868,Grandmaster,Terran
52,US,5858,Grandmaster,Zerg
52,US,5857,Grandmaster,Zerg
52,US,5853,Grandmaster,Terran
52,US,5851,Grandmaster,Zerg
52,US,5850,Grandmaster,Protoss
52,US,5847,Grandmaster,Terran
52,US,5846,Grandmaster,Zerg
52,US,5844,Grandmaster,Zerg
52,US,5839,Grandmaster,Zerg
52,US,5834,Grandmaster,Zerg
52,US,5834,Grandmaster,Protoss
52,US,5831,Grandmaster,Zerg
52,US,5831,Grandmaster,Zerg
52,US,5823,Grandmaster,Protoss
52,US,5816,Grandmaster,Terran
52,US,5814,Grandmaster,Terran
52,US,5808,Grandmaster,Terran
52,US,5806,Grandmaster,Protoss
52,US,5800,Grandmaster,Terran
52,US,5798,Grandmaster,Zerg
52,US,5798,Grandmaster,Zerg
52,US,5796,Grandmaster,Terran
52,US,5795,Grandmaster,Terran
52,US,5794,Grandmaster,Zerg
52,US,5787,Grandmaster,Terran
52,US,5782,Grandmaster,Protoss
52,US,5772,Grandmaster,Terran
52,US,5769,Grandmaster,Zerg
52,US,5768,Grandmaster,Zerg
52,US,5768,Grandmaster,Terran
52,US,5766,Grandmaster,Terran
52,US,5764,Grandmaster,Protoss
52,US,5761,Grandmaster,Random
52,US,5760,Grandmaster,Zerg
52,US,5758,Grandmaster,Zerg
52,US,5754,Grandmaster,Protoss
52,US,5753,Grandmaster,Zerg
52,US,5752,Grandmaster,Zerg
52,US,5752,Grandmaster,Protoss
52,US,5748,Grandmaster,Protoss
52,US,5745,Grandmaster,Protoss
52,US,5743,Grandmaster,Terran
52,US,5743,Grandmaster,Terran
52,US,5737,Grandmaster,Terran
52,US,5732,Grandmaster,Terran
52,US,5732,Grandmaster,Zerg
52,US,5727,Grandmaster,Protoss
52,US,5718,Grandmaster,Protoss
52,US,5716,Grandmaster,Terran
52,US,5716,Grandmaster,Zerg
52,US,5715,Grandmaster,Protoss
52,US,5710,Grandmaster,Protoss
52,US,5710,Grandmaster,Terran
52,US,5709,Grandmaster,Protoss
52,US,5707,Grandmaster,Protoss
52,US,5703,Grandmaster,Protoss
52,US,5700,Grandmaster,Protoss
52,US,5698,Grandmaster,Terran
52,US,5697,Grandmaster,Random
52,US,5696,Grandmaster,Protoss
52,US,5694,Grandmaster,Zerg
52,US,5693,Grandmaster,Terran
52,US,5693,Grandmaster,Protoss
52,US,5689,Grandmaster,Terran
52,US,5689,Grandmaster,Terran
52,US,5687,Grandmaster,Terran
52,US,5682,Grandmaster,Terran
52,US,5681,Grandmaster,Protoss
52,US,5680,Grandmaster,Zerg
52,US,5678,Grandmaster,Terran
52,US,5671,Grandmaster,Terran
52,US,5669,Grandmaster,Zerg
52,US,5666,Grandmaster,Zerg
52,US,5658,Grandmaster,Terran
52,US,5655,Grandmaster,Protoss
52,US,5654,Grandmaster,Terran
52,US,5654,Grandmaster,Random
52,US,5651,Grandmaster,Protoss
52,US,5650,Grandmaster,Zerg
52,US,5650,Grandmaster,Zerg
52,US,5648,Grandmaster,Terran
52,US,5648,Grandmaster,Terran
52,US,5647,Grandmaster,Terran
52,US,5645,Grandmaster,Terran
52,US,5645,Grandmaster,Terran
52,US,5640,Grandmaster,Protoss
52,US,5638,Grandmaster,Protoss
52,US,5633,Grandmaster,Protoss
52,US,5629,Grandmaster,Terran
52,US,5629,Grandmaster,Protoss
52,US,5621,Grandmaster,Protoss
52,US,5619,Grandmaster,Random
52,US,5619,Grandmaster,Protoss
52,US,5617,Grandmaster,Zerg
52,US,5612,Grandmaster,Terran
52,US,5610,Grandmaster,Zerg
52,US,5608,Grandmaster,Zerg
52,US,5599,Grandmaster,Zerg
52,US,5599,Grandmaster,Zerg
52,US,5598,Grandmaster,Terran
52,US,5597,Grandmaster,Terran
52,US,5597,Grandmaster,Protoss
52,US,5596,Grandmaster,Protoss
52,US,5596,Grandmaster,Zerg
52,US,5594,Grandmaster,Protoss
52,US,5593,Grandmaster,Protoss
52,US,5592,Grandmaster,Zerg
52,US,5591,Grandmaster,Protoss
52,US,5590,Grandmaster,Terran
52,US,5590,Grandmaster,Protoss
52,US,5586,Grandmaster,Terran
52,US,5585,Grandmaster,Protoss
52,US,5585,Grandmaster,Protoss
52,US,5584,Grandmaster,Terran
52,US,5583,Grandmaster,Protoss
52,US,5581,Grandmaster,Zerg
52,US,5579,Grandmaster,Protoss
52,US,5576,Grandmaster,Zerg
52,US,5571,Grandmaster,Terran
52,US,5570,Grandmaster,Protoss
52,US,5569,Grandmaster,Terran
52,US,5569,Grandmaster,Zerg
52,US,5563,Grandmaster,Zerg
52,US,5561,Grandmaster,Protoss
52,US,5560,Grandmaster,Protoss
52,US,5559,Grandmaster,Protoss
52,US,5556,Grandmaster,Protoss
52,US,5556,Grandmaster,Terran
52,US,5555,Grandmaster,Zerg
52,US,5555,Grandmaster,Protoss
52,US,5553,Grandmaster,Terran
52,US,5548,Grandmaster,Terran
52,US,5547,Grandmaster,Terran
52,US,5546,Grandmaster,Terran
52,US,5546,Grandmaster,Protoss
52,US,5545,Grandmaster,Terran
52,US,5544,Grandmaster,Protoss
52,US,5543,Grandmaster,Protoss
52,US,5542,Grandmaster,Protoss
52,US,5542,Grandmaster,Terran
52,US,5542,Grandmaster,Protoss
52,US,5539,Grandmaster,Random
52,US,5538,Grandmaster,Protoss
52,US,5538,Grandmaster,Zerg
52,US,5532,Grandmaster,Terran
52,US,5532,Grandmaster,Terran
52,US,5531,Grandmaster,Zerg
52,US,5531,Grandmaster,Terran
52,US,5530,Grandmaster,Terran
52,US,5528,Grandmaster,Zerg
52,US,5523,Grandmaster,Protoss
52,US,5521,Grandmaster,Zerg
52,US,5521,Grandmaster,Protoss
52,US,5517,Grandmaster,Protoss
52,US,5515,Grandmaster,Terran
52,US,5514,Grandmaster,Terran
52,US,5512,Grandmaster,Random
52,US,5512,Grandmaster,Terran
52,US,5511,Grandmaster,Terran
52,US,5508,Grandmaster,Protoss
52,US,5508,Grandmaster,Protoss
52,US,5504,Grandmaster,Zerg
52,US,5504,Grandmaster,Protoss
52,US,5503,Grandmaster,Zerg
52,US,5501,Grandmaster,Terran
52,US,5498,Grandmaster,Zerg
52,US,5496,Grandmaster,Terran
52,US,5496,Grandmaster,Zerg
52,US,5495,Grandmaster,Zerg
52,US,5493,Grandmaster,Zerg
52,US,5492,Grandmaster,Zerg
52,US,5491,Grandmaster,Zerg
52,US,5489,Grandmaster,Zerg
52,US,5489,Grandmaster,Zerg
52,US,5487,Grandmaster,Zerg
52,US,5486,Grandmaster,Terran
52,US,5485,Grandmaster,Zerg
52,US,5485,Grandmaster,Zerg
52,US,5485,Grandmaster,Zerg
52,US,5485,Grandmaster,Zerg
52,US,5485,Grandmaster,Terran
52,US,5485,Grandmaster,Zerg
52,US,5485,Grandmaster,Protoss
52,US,5484,Grandmaster,Zerg
52,US,5483,Grandmaster,Protoss
52,US,5481,Grandmaster,Protoss
52,US,5480,Grandmaster,Terran
52,US,5479,Grandmaster,Protoss
52,US,5479,Grandmaster,Protoss
52,US,5479,Grandmaster,Protoss
52,US,5479,Grandmaster,Zerg
52,US,5477,Grandmaster,Terran
52,US,5475,Grandmaster,Zerg
52,US,5471,Grandmaster,Terran
52,US,5469,Grandmaster,Protoss
52,US,5468,Grandmaster,Zerg
52,US,5466,Grandmaster,Random
52,US,5464,Grandmaster,Protoss
52,US,5464,Grandmaster,Zerg
52,US,5462,Grandmaster,Terran
52,US,5460,Grandmaster,Terran
52,US,5460,Grandmaster,Zerg
52,US,5460,Grandmaster,Protoss
52,US,5459,Grandmaster,Random
52,US,5458,Grandmaster,Zerg
52,US,5458,Grandmaster,Protoss
52,US,5455,Grandmaster,Terran
52,US,5452,Grandmaster,Terran
52,US,5451,Grandmaster,Protoss
52,US,5451,Grandmaster,Protoss
52,US,5450,Grandmaster,Terran
52,US,5450,Grandmaster,Protoss
52,US,5448,Grandmaster,Protoss
52,US,5448,Grandmaster,Protoss
52,US,5448,Grandmaster,Terran
52,US,5446,Grandmaster,Protoss
52,US,5446,Grandmaster,Zerg
52,US,5446,Grandmaster,Protoss
52,US,5446,Grandmaster,Zerg
52,US,5443,Grandmaster,Protoss
52,US,5442,Grandmaster,Zerg
52,US,5442,Grandmaster,Protoss
52,US,5441,Grandmaster,Protoss
52,US,5440,Grandmaster,Terran
52,US,5439,Grandmaster,Protoss
52,US,5435,Grandmaster,Protoss
52,US,5434,Grandmaster,Terran
52,US,5432,Grandmaster,Protoss
52,US,5431,Grandmaster,Terran
52,US,5430,Grandmaster,Terran
52,US,5429,Grandmaster,Zerg
52,US,5429,Grandmaster,Protoss
52,US,5428,Grandmaster,Terran
52,US,5425,Grandmaster,Protoss
52,US,5424,Grandmaster,Protoss
52,US,5424,Grandmaster,Terran
52,US,5423,Grandmaster,Protoss
52,US,5422,Grandmaster,Random
52,US,5422,Grandmaster,Protoss
52,US,5422,Grandmaster,Protoss
52,US,5415,Grandmaster,Terran
52,US,5414,Grandmaster,Terran
52,US,5412,Grandmaster,Terran
52,US,5412,Grandmaster,Protoss
52,US,5411,Grandmaster,Random
52,US,5411,Grandmaster,Protoss
52,US,5411,Grandmaster,Zerg
52,US,5407,Grandmaster,Zerg
52,US,5406,Grandmaster,Protoss
52,US,5405,Grandmaster,Protoss
52,US,5403,Grandmaster,Terran
52,US,5400,Grandmaster,Protoss
52,US,5399,Grandmaster,Terran
52,US,5398,Grandmaster,Zerg
52,US,5396,Grandmaster,Zerg
52,US,5394,Grandmaster,Terran
52,US,5393,Grandmaster,Terran
52,US,5393,Grandmaster,Protoss
52,US,5392,Grandmaster,Zerg
52,US,5391,Grandmaster,Protoss
52,US,5391,Grandmaster,Terran
52,US,5389,Grandmaster,Zerg
52,US,5387,Grandmaster,Zerg
52,US,5387,Grandmaster,Terran
52,US,5386,Grandmaster,Zerg
52,US,5385,Grandmaster,Terran
52,US,5381,Grandmaster,Protoss
52,US,5381,Grandmaster,Protoss
52,US,5380,Grandmaster,Zerg
52,US,5379,Grandmaster,Zerg
52,US,5379,Grandmaster,Protoss
52,US,5378,Grandmaster,Terran
52,US,5378,Grandmaster,Terran
52,US,5377,Grandmaster,Protoss
52,US,5377,Grandmaster,Protoss
52,US,5377,Grandmaster,Terran
52,US,5376,Grandmaster,Zerg
52,US,5374,Grandmaster,Zerg
52,US,5373,Grandmaster,Zerg
52,US,5371,Grandmaster,Terran
52,US,5369,Grandmaster,Zerg
52,US,5368,Grandmaster,Protoss
52,US,5368,Grandmaster,Protoss
52,US,5368,Grandmaster,Terran
52,US,5368,Grandmaster,Protoss
52,US,5366,Grandmaster,Terran
52,US,5364,Grandmaster,Terran
52,US,5363,Grandmaster,Protoss
52,US,5362,Grandmaster,Terran
52,US,5360,Grandmaster,Zerg
52,US,5358,Grandmaster,Zerg
52,US,5357,Grandmaster,Terran
52,US,5356,Grandmaster,Protoss
52,US,5351,Grandmaster,Protoss
52,US,5351,Grandmaster,Terran
52,US,5350,Grandmaster,Zerg
52,US,5348,Grandmaster,Protoss
52,US,5347,Grandmaster,Zerg
52,US,5347,Grandmaster,Zerg
52,US,5345,Grandmaster,Terran
52,US,5345,Grandmaster,Protoss
52,US,5344,Grandmaster,Terran
52,US,5343,Grandmaster,Protoss
52,US,5342,Grandmaster,Zerg
52,US,5341,Grandmaster,Terran
52,US,5341,Grandmaster,Terran
52,US,5339,Grandmaster,Protoss
52,US,5333,Grandmaster,Protoss
52,US,5332,Grandmaster,Zerg
52,US,5332,Grandmaster,Protoss
52,US,5331,Grandmaster,Protoss
52,US,5331,Grandmaster,Terran
52,US,5330,Grandmaster,Terran
52,US,5328,Grandmaster,Protoss
52,US,5328,Grandmaster,Terran
52,US,5325,Grandmaster,Terran
52,US,5324,Grandmaster,Protoss
52,US,5323,Grandmaster,Random
52,US,5321,Grandmaster,Terran
52,US,5320,Grandmaster,Protoss
52,US,5320,Grandmaster,Random
52,US,5317,Grandmaster,Zerg
52,US,5317,Grandmaster,Protoss
52,US,5317,Grandmaster,Zerg
52,US,5317,Grandmaster,Protoss
52,US,5314,Grandmaster,Protoss
52,US,5314,Grandmaster,Terran
52,US,5313,Grandmaster,Protoss
52,US,5313,Grandmaster,Protoss
52,US,5312,Grandmaster,Terran
52,US,5311,Grandmaster,Zerg
52,US,5311,Grandmaster,Random
52,US,5311,Grandmaster,Zerg
52,US,5311,Grandmaster,Terran
52,US,5309,Grandmaster,Zerg
52,US,5308,Grandmaster,Protoss
52,US,5306,Grandmaster,Terran
52,US,5304,Grandmaster,Random
52,US,5303,Grandmaster,Zerg
52,US,5303,Grandmaster,Terran
52,US,5302,Grandmaster,Protoss
52,US,5302,Grandmaster,Random
52,US,5302,Grandmaster,Protoss
52,US,5300,Grandmaster,Zerg
52,US,5300,Grandmaster,Zerg
52,US,5298,Grandmaster,Protoss
52,US,5297,Grandmaster,Terran
52,US,5296,Grandmaster,Terran
52,US,5296,Grandmaster,Protoss
52,US,5295,Grandmaster,Zerg
52,US,5294,Grandmaster,Zerg
52,US,5292,Grandmaster,Protoss
52,US,5291,Grandmaster,Protoss
52,US,5291,Grandmaster,Terran
52,US,5291,Grandmaster,Protoss
