Season,Region,Rating,Rank,Race
53,KR,2279,Silver,Terran
53,KR,2279,Silver,Protoss
53,KR,2279,Silver,Terran
53,KR,2279,Silver,Terran
53,KR,2279,Silver,Protoss
53,KR,2279,Silver,Protoss
53,KR,2279,Silver,Terran
53,KR,2278,Silver,Protoss
53,KR,2278,Silver,Zerg
53,KR,2278,Silver,Protoss
53,KR,2278,Silver,Terran
53,KR,2278,Silver,Terran
53,KR,2278,Silver,Terran
53,KR,2278,Silver,Terran
53,KR,2278,Silver,Terran
53,KR,2277,Silver,Zerg
53,KR,2277,Silver,Protoss
53,KR,2277,Silver,Terran
53,KR,2277,Silver,Terran
53,KR,2277,Silver,Zerg
53,KR,2277,Silver,Protoss
53,KR,2277,Silver,Terran
53,KR,2277,Silver,Zerg
53,KR,2277,Silver,Protoss
53,KR,2277,Silver,Terran
53,KR,2277,Silver,Terran
53,KR,2276,Silver,Protoss
53,KR,2276,Silver,Zerg
53,KR,2276,Silver,Terran
53,KR,2276,Silver,Protoss
53,KR,2276,Silver,Protoss
53,KR,2276,Silver,Terran
53,KR,2276,Silver,Protoss
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Zerg
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Zerg
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Protoss
53,KR,2275,Silver,Zerg
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2275,Silver,Terran
53,KR,2273,Silver,Terran
53,KR,2273,Silver,Zerg
53,KR,2273,Silver,Protoss
53,KR,2273,Silver,Protoss
53,KR,2273,Silver,Protoss
53,KR,2273,Silver,Terran
53,KR,2273,Silver,Terran
53,KR,2273,Silver,Protoss
53,KR,2273,Silver,Terran
53,KR,2273,Silver,Zerg
53,KR,2273,Silver,Terran
53,KR,2272,Silver,Protoss
53,KR,2272,Silver,Terran
53,KR,2272,Silver,Terran
53,KR,2272,Silver,Protoss
53,KR,2272,Silver,Terran
53,KR,2272,Silver,Protoss
53,KR,2272,Silver,Zerg
53,KR,2272,Silver,Zerg
53,KR,2272,Silver,Zerg
53,KR,2272,Silver,Terran
53,KR,2272,Silver,Terran
53,KR,2272,Silver,Zerg
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Terran
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Terran
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Protoss
53,KR,2271,Silver,Terran
53,KR,2270,Silver,Protoss
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Random
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Protoss
53,KR,2270,Silver,Terran
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Terran
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Random
53,KR,2270,Silver,Terran
53,KR,2270,Silver,Zerg
53,KR,2270,Silver,Protoss
53,KR,2270,Silver,Random
53,KR,2270,Silver,Terran
53,KR,2270,Silver,Terran
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Protoss
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Protoss
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Terran
53,KR,2269,Silver,Zerg
53,KR,2268,Silver,Terran
53,KR,2268,Silver,Terran
53,KR,2268,Silver,Terran
53,KR,2268,Silver,Zerg
53,KR,2268,Silver,Zerg
53,KR,2267,Silver,Terran
53,KR,2267,Silver,Zerg
53,KR,2267,Silver,Terran
53,KR,2267,Silver,Zerg
53,KR,2267,Silver,Protoss
53,KR,2266,Silver,Protoss
53,KR,2266,Silver,Terran
53,KR,2266,Silver,Protoss
53,KR,2266,Silver,Terran
53,KR,2266,Silver,Terran
53,KR,2266,Silver,Terran
53,KR,2266,Silver,Protoss
53,KR,2266,Silver,Zerg
53,KR,2266,Silver,Protoss
53,KR,2266,Silver,Terran
53,KR,2265,Silver,Terran
53,KR,2265,Silver,Zerg
53,KR,2265,Silver,Terran
53,KR,2265,Silver,Zerg
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Zerg
53,KR,2264,Silver,Random
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Terran
53,KR,2264,Silver,Zerg
53,KR,2263,Silver,Terran
53,KR,2263,Silver,Zerg
53,KR,2263,Silver,Zerg
53,KR,2263,Silver,Terran
53,KR,2263,Silver,Protoss
53,KR,2263,Silver,Terran
53,KR,2263,Silver,Zerg
53,KR,2261,Silver,Zerg
53,KR,2261,Silver,Terran
53,KR,2261,Silver,Terran
53,KR,2261,Silver,Terran
53,KR,2261,Silver,Protoss
53,KR,2261,Silver,Terran
53,KR,2261,Silver,Terran
53,KR,2260,Silver,Terran
53,KR,2260,Silver,Terran
53,KR,2260,Silver,Protoss
53,KR,2260,Silver,Terran
53,KR,2260,Silver,Protoss
53,KR,2260,Silver,Protoss
53,KR,2260,Silver,Terran
53,KR,2260,Silver,Protoss
53,KR,2259,Silver,Terran
53,KR,2259,Silver,Zerg
53,KR,2259,Silver,Protoss
53,KR,2259,Silver,Zerg
53,KR,2259,Silver,Terran
53,KR,2259,Silver,Terran
53,KR,2258,Silver,Zerg
53,KR,2258,Silver,Zerg
53,KR,2258,Silver,Protoss
53,KR,2258,Silver,Terran
53,KR,2258,Silver,Terran
53,KR,2258,Silver,Terran
53,KR,2258,Silver,Protoss
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Terran
53,KR,2257,Silver,Zerg
53,KR,2257,Silver,Protoss
53,KR,2257,Silver,Zerg
53,KR,2256,Silver,Terran
53,KR,2256,Silver,Terran
53,KR,2256,Silver,Protoss
53,KR,2256,Silver,Terran
53,KR,2256,Silver,Terran
53,KR,2255,Silver,Terran
53,KR,2255,Silver,Terran
53,KR,2255,Silver,Protoss
53,KR,2255,Silver,Protoss
53,KR,2254,Silver,Protoss
53,KR,2254,Silver,Terran
53,KR,2254,Silver,Zerg
53,KR,2254,Silver,Terran
53,KR,2254,Silver,Protoss
53,KR,2254,Silver,Terran
53,KR,2253,Silver,Terran
53,KR,2253,Silver,Protoss
53,KR,2253,Silver,Protoss
53,KR,2253,Silver,Protoss
53,KR,2253,Silver,Terran
53,KR,2252,Silver,Zerg
53,KR,2252,Silver,Terran
53,KR,2252,Silver,Zerg
53,KR,2252,Silver,Zerg
53,KR,2252,Silver,Terran
53,KR,2252,Silver,Random
53,KR,2252,Silver,Protoss
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Protoss
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Zerg
53,KR,2251,Silver,Terran
53,KR,2251,Silver,Zerg
53,KR,2250,Silver,Zerg
53,KR,2250,Silver,Zerg
53,KR,2250,Silver,Zerg
53,KR,2250,Silver,Terran
53,KR,2249,Silver,Protoss
53,KR,2249,Silver,Random
53,KR,2249,Silver,Terran
53,KR,2249,Silver,Protoss
53,KR,2249,Silver,Zerg
53,KR,2249,Silver,Terran
53,KR,2249,Silver,Protoss
53,KR,2249,Silver,Protoss
53,KR,2249,Silver,Protoss
53,KR,2249,Silver,Terran
53,KR,2248,Silver,Terran
53,KR,2248,Silver,Terran
53,KR,2248,Silver,Terran
53,KR,2248,Silver,Protoss
53,KR,2248,Silver,Random
53,KR,2248,Silver,Zerg
53,KR,2248,Silver,Zerg
53,KR,2248,Silver,Zerg
53,KR,2248,Silver,Zerg
53,KR,2248,Silver,Random
53,KR,2248,Silver,Terran
53,KR,2246,Silver,Zerg
53,KR,2246,Silver,Zerg
53,KR,2246,Silver,Zerg
53,KR,2246,Silver,Zerg
53,KR,2246,Silver,Terran
53,KR,2246,Silver,Zerg
