Season,Region,Rating,Rank,Race
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Random
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Random
55,EU,2679,Gold,Random
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Random
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Zerg
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Protoss
55,EU,2679,Gold,Random
55,EU,2679,Gold,Terran
55,EU,2679,Gold,Zerg
55,EU,2677,Gold,Random
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Random
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Random
55,EU,2677,Gold,Random
55,EU,2677,Gold,Random
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Random
55,EU,2677,Gold,Protoss
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Terran
55,EU,2677,Gold,Zerg
55,EU,2677,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Random
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Random
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Random
55,EU,2676,Gold,Random
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Protoss
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Zerg
55,EU,2676,Gold,Terran
55,EU,2676,Gold,Random
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Random
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Random
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Random
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Random
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Random
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Random
55,EU,2674,Gold,Zerg
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Terran
55,EU,2674,Gold,Protoss
55,EU,2674,Gold,Zerg
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Random
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Random
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Protoss
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Random
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Zerg
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Terran
55,EU,2673,Gold,Protoss
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Random
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Zerg
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Random
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Zerg
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Zerg
55,EU,2671,Gold,Protoss
55,EU,2671,Gold,Terran
55,EU,2671,Gold,Protoss
