Season,Region,Rating,Rank,Race
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Random
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Zerg
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Terran
56,US,2679,Gold,Random
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Protoss
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Random
56,US,2679,Gold,Zerg
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Random
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Random
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Terran
56,US,2679,Gold,Protoss
56,US,2679,Gold,Zerg
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Terran
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Protoss
56,US,2679,Gold,Terran
56,US,2679,Gold,Zerg
56,US,2679,Gold,Protoss
56,US,2678,Gold,Zerg
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Protoss
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Random
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Random
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Zerg
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Terran
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Random
56,US,2678,Gold,Zerg
56,US,2678,Gold,Random
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2678,Gold,Zerg
56,US,2678,Gold,Protoss
56,US,2678,Gold,Zerg
56,US,2678,Gold,Terran
56,US,2678,Gold,Random
56,US,2678,Gold,Protoss
56,US,2678,Gold,Protoss
56,US,2678,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Zerg
56,US,2676,Gold,Zerg
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Zerg
56,US,2676,Gold,Random
56,US,2676,Gold,Terran
56,US,2676,Gold,Zerg
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Protoss
56,US,2676,Gold,Random
56,US,2676,Gold,Zerg
56,US,2676,Gold,Random
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Protoss
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Random
56,US,2676,Gold,Zerg
56,US,2676,Gold,Protoss
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Zerg
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2676,Gold,Protoss
56,US,2676,Gold,Zerg
56,US,2676,Gold,Protoss
56,US,2676,Gold,Terran
56,US,2676,Gold,Terran
56,US,2675,Gold,Terran
56,US,2675,Gold,Terran
56,US,2675,Gold,Protoss
56,US,2675,Gold,Zerg
56,US,2675,Gold,Terran
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Random
56,US,2675,Gold,Terran
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Terran
56,US,2675,Gold,Zerg
56,US,2675,Gold,Protoss
56,US,2675,Gold,Zerg
56,US,2675,Gold,Zerg
56,US,2675,Gold,Protoss
56,US,2675,Gold,Terran
56,US,2675,Gold,Protoss
56,US,2675,Gold,Terran
56,US,2675,Gold,Terran
56,US,2675,Gold,Random
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Random
56,US,2675,Gold,Protoss
56,US,2675,Gold,Zerg
56,US,2675,Gold,Terran
56,US,2675,Gold,Protoss
56,US,2675,Gold,Terran
56,US,2675,Gold,Zerg
56,US,2675,Gold,Protoss
56,US,2675,Gold,Random
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2675,Gold,Protoss
56,US,2673,Gold,Terran
56,US,2673,Gold,Protoss
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Protoss
56,US,2673,Gold,Protoss
56,US,2673,Gold,Random
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Random
56,US,2673,Gold,Protoss
56,US,2673,Gold,Random
56,US,2673,Gold,Protoss
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Protoss
56,US,2673,Gold,Random
56,US,2673,Gold,Terran
56,US,2673,Gold,Protoss
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Random
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Random
56,US,2673,Gold,Terran
56,US,2673,Gold,Random
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Zerg
56,US,2673,Gold,Terran
56,US,2673,Gold,Protoss
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Zerg
56,US,2673,Gold,Protoss
56,US,2673,Gold,Terran
56,US,2672,Gold,Zerg
56,US,2672,Gold,Zerg
56,US,2672,Gold,Protoss
56,US,2672,Gold,Protoss
56,US,2672,Gold,Zerg
56,US,2672,Gold,Protoss
56,US,2672,Gold,Protoss
56,US,2672,Gold,Zerg
56,US,2672,Gold,Zerg
56,US,2672,Gold,Protoss
56,US,2672,Gold,Zerg
56,US,2672,Gold,Zerg
56,US,2672,Gold,Zerg
56,US,2672,Gold,Protoss
56,US,2672,Gold,Zerg
56,US,2672,Gold,Random
56,US,2672,Gold,Protoss
56,US,2672,Gold,Zerg
56,US,2672,Gold,Terran
56,US,2672,Gold,Zerg
56,US,2672,Gold,Terran
56,US,2672,Gold,Terran
