Season,Region,Rating,Rank,Race
58,KR,2679,Gold,Random
58,KR,2679,Gold,Terran
58,KR,2679,Gold,Protoss
58,KR,2679,Gold,Zerg
58,KR,2677,Gold,Zerg
58,KR,2677,Gold,Random
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Zerg
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Random
58,KR,2677,Gold,Zerg
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Random
58,KR,2677,Gold,Zerg
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Zerg
58,KR,2677,Gold,Terran
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Protoss
58,KR,2677,Gold,Zerg
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Random
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Zerg
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Protoss
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Terran
58,KR,2676,Gold,Protoss
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Random
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Random
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Terran
58,KR,2675,Gold,Protoss
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2675,Gold,Zerg
58,KR,2674,Gold,Random
58,KR,2674,Gold,Terran
58,KR,2674,Gold,Terran
58,KR,2674,Gold,Terran
58,KR,2674,Gold,Random
58,KR,2674,Gold,Terran
58,KR,2674,Gold,Terran
58,KR,2674,Gold,Zerg
58,KR,2672,Gold,Terran
58,KR,2672,Gold,Protoss
58,KR,2672,Gold,Terran
58,KR,2672,Gold,Zerg
58,KR,2672,Gold,Protoss
58,KR,2672,Gold,Protoss
58,KR,2672,Gold,Zerg
58,KR,2672,Gold,Protoss
