Season,Region,Rating,Rank,Race
58,KR,4799,Master,Protoss
58,KR,4798,Master,Protoss
58,KR,4797,Master,Random
58,KR,4797,Master,Protoss
58,KR,4796,Master,Terran
58,KR,4796,Master,Protoss
58,KR,4795,Master,Zerg
58,KR,4794,Master,Protoss
58,KR,4793,Master,Protoss
58,KR,4793,Master,Terran
58,KR,4792,Master,Terran
58,KR,4792,Master,Zerg
58,KR,4791,Master,Zerg
58,KR,4791,Master,Protoss
58,KR,4791,Master,Protoss
58,KR,4790,Master,Protoss
58,KR,4789,Master,Protoss
58,KR,4789,Master,Protoss
58,KR,4788,Master,Terran
58,KR,4787,Master,Zerg
58,KR,4786,Master,Terran
58,KR,4785,Master,Random
58,KR,4785,Master,Terran
58,KR,4783,Master,Protoss
58,KR,4783,Master,Terran
58,KR,4780,Master,Zerg
58,KR,4780,Master,Zerg
58,KR,4779,Master,Zerg
58,KR,4779,Master,Terran
58,KR,4779,Master,Terran
58,KR,4779,Master,Protoss
58,KR,4778,Master,Protoss
58,KR,4777,Master,Terran
58,KR,4777,Master,Terran
58,KR,4775,Master,Zerg
58,KR,4775,Master,Protoss
58,KR,4775,Master,Terran
58,KR,4775,Master,Terran
58,KR,4774,Master,Terran
58,KR,4773,Master,Terran
58,KR,4772,Master,Terran
58,KR,4772,Master,Zerg
58,KR,4771,Master,Zerg
58,KR,4771,Master,Protoss
58,KR,4771,Master,Terran
58,KR,4769,Master,Zerg
58,KR,4769,Master,Terran
58,KR,4767,Master,Terran
58,KR,4765,Master,Protoss
58,KR,4765,Master,Protoss
58,KR,4764,Master,Protoss
58,KR,4762,Master,Terran
58,KR,4761,Master,Zerg
58,KR,4761,Master,Random
58,KR,4761,Master,Zerg
58,KR,4761,Master,Protoss
58,KR,4761,Master,Protoss
58,KR,4759,Master,Terran
58,KR,4758,Master,Terran
58,KR,4755,Master,Terran
58,KR,4753,Master,Terran
58,KR,4752,Master,Protoss
58,KR,4752,Master,Zerg
58,KR,4751,Master,Protoss
58,KR,4751,Master,Protoss
58,KR,4751,Master,Terran
58,KR,4749,Master,Zerg
58,KR,4749,Master,Terran
58,KR,4749,Master,Protoss
58,KR,4748,Master,Terran
58,KR,4747,Master,Terran
58,KR,4746,Master,Zerg
58,KR,4746,Master,Terran
58,KR,4746,Master,Zerg
58,KR,4745,Master,Protoss
58,KR,4745,Master,Protoss
58,KR,4745,Master,Terran
58,KR,4744,Master,Terran
58,KR,4744,Master,Protoss
58,KR,4743,Master,Terran
58,KR,4742,Master,Random
58,KR,4742,Master,Zerg
58,KR,4742,Master,Zerg
58,KR,4741,Master,Terran
58,KR,4741,Master,Terran
58,KR,4741,Master,Zerg
58,KR,4740,Master,Terran
58,KR,4738,Master,Zerg
58,KR,4738,Master,Terran
58,KR,4737,Master,Terran
58,KR,4736,Master,Zerg
58,KR,4735,Master,Protoss
58,KR,4734,Master,Zerg
58,KR,4733,Master,Terran
58,KR,4733,Master,Protoss
58,KR,4733,Master,Protoss
58,KR,4733,Master,Protoss
58,KR,4732,Master,Protoss
58,KR,4731,Master,Terran
58,KR,4731,Master,Terran
58,KR,4731,Master,Protoss
58,KR,4730,Master,Protoss
58,KR,4730,Master,Zerg
58,KR,4729,Master,Protoss
58,KR,4727,Master,Protoss
58,KR,4727,Master,Terran
58,KR,4727,Master,Terran
58,KR,4726,Master,Zerg
58,KR,4726,Master,Terran
58,KR,4725,Master,Zerg
58,KR,4724,Master,Protoss
58,KR,4724,Master,Protoss
58,KR,4723,Master,Zerg
58,KR,4723,Master,Protoss
58,KR,4722,Master,Protoss
58,KR,4720,Master,Zerg
58,KR,4720,Master,Terran
58,KR,4720,Master,Random
58,KR,4718,Master,Protoss
58,KR,4718,Master,Zerg
58,KR,4718,Master,Terran
58,KR,4718,Master,Zerg
58,KR,4717,Master,Terran
58,KR,4717,Master,Protoss
58,KR,4716,Master,Protoss
58,KR,4714,Master,Protoss
58,KR,4714,Master,Protoss
58,KR,4713,Master,Protoss
58,KR,4712,Master,Protoss
58,KR,4712,Master,Zerg
58,KR,4712,Master,Zerg
58,KR,4711,Master,Protoss
58,KR,4709,Master,Zerg
58,KR,4708,Master,Zerg
58,KR,4707,Master,Random
58,KR,4707,Master,Protoss
58,KR,4707,Master,Terran
58,KR,4706,Master,Terran
58,KR,4706,Master,Protoss
58,KR,4705,Master,Zerg
58,KR,4705,Master,Protoss
58,KR,4705,Master,Terran
58,KR,4704,Master,Terran
58,KR,4704,Master,Terran
58,KR,4703,Master,Zerg
58,KR,4703,Master,Terran
58,KR,4702,Master,Protoss
58,KR,4702,Master,Random
58,KR,4702,Master,Protoss
58,KR,4702,Master,Zerg
58,KR,4702,Master,Zerg
58,KR,4702,Master,Terran
58,KR,4702,Master,Zerg
58,KR,4701,Master,Zerg
58,KR,4701,Master,Terran
58,KR,4699,Master,Protoss
58,KR,4698,Master,Zerg
58,KR,4698,Master,Protoss
58,KR,4697,Master,Random
58,KR,4697,Master,Zerg
58,KR,4697,Master,Terran
58,KR,4697,Master,Terran
58,KR,4696,Master,Terran
58,KR,4695,Master,Terran
58,KR,4695,Master,Terran
58,KR,4694,Master,Protoss
58,KR,4693,Master,Terran
58,KR,4693,Master,Zerg
58,KR,4692,Master,Protoss
58,KR,4692,Master,Zerg
58,KR,4691,Master,Terran
58,KR,4691,Master,Protoss
58,KR,4690,Master,Protoss
58,KR,4690,Master,Zerg
58,KR,4690,Master,Terran
58,KR,4687,Master,Protoss
58,KR,4686,Master,Terran
58,KR,4686,Master,Zerg
58,KR,4686,Master,Zerg
58,KR,4686,Master,Terran
58,KR,4685,Master,Zerg
58,KR,4685,Master,Protoss
58,KR,4685,Master,Protoss
58,KR,4684,Master,Zerg
58,KR,4682,Master,Zerg
58,KR,4682,Master,Terran
58,KR,4681,Master,Protoss
58,KR,4681,Master,Terran
58,KR,4679,Master,Zerg
58,KR,4679,Master,Terran
58,KR,4678,Master,Random
58,KR,4678,Master,Zerg
58,KR,4676,Master,Zerg
58,KR,4675,Master,Terran
58,KR,4673,Master,Terran
58,KR,4673,Master,Terran
58,KR,4673,Master,Terran
58,KR,4672,Master,Zerg
58,KR,4672,Master,Terran
58,KR,4670,Master,Terran
58,KR,4670,Master,Zerg
58,KR,4669,Master,Protoss
58,KR,4669,Master,Zerg
58,KR,4668,Master,Protoss
58,KR,4668,Master,Protoss
58,KR,4668,Master,Protoss
58,KR,4666,Master,Protoss
58,KR,4666,Master,Zerg
58,KR,4666,Master,Terran
58,KR,4665,Master,Zerg
58,KR,4665,Master,Protoss
58,KR,4664,Master,Protoss
58,KR,4664,Master,Terran
58,KR,4664,Master,Random
58,KR,4663,Master,Protoss
58,KR,4663,Master,Zerg
58,KR,4663,Master,Zerg
58,KR,4663,Master,Terran
58,KR,4662,Master,Terran
58,KR,4662,Master,Terran
58,KR,4661,Master,Protoss
58,KR,4660,Master,Protoss
58,KR,4659,Master,Protoss
58,KR,4659,Master,Zerg
58,KR,4659,Master,Protoss
58,KR,4657,Master,Terran
58,KR,4655,Master,Protoss
58,KR,4655,Master,Protoss
58,KR,4654,Master,Terran
58,KR,4654,Master,Protoss
58,KR,4654,Master,Terran
58,KR,4654,Master,Zerg
58,KR,4653,Master,Zerg
58,KR,4653,Master,Protoss
58,KR,4652,Master,Zerg
58,KR,4652,Master,Zerg
58,KR,4652,Master,Terran
58,KR,4651,Master,Zerg
58,KR,4651,Master,Random
58,KR,4651,Master,Protoss
58,KR,4649,Master,Protoss
58,KR,4649,Master,Zerg
58,KR,4647,Master,Zerg
58,KR,4646,Master,Terran
58,KR,4646,Master,Terran
58,KR,4646,Master,Terran
58,KR,4646,Master,Terran
58,KR,4646,Master,Terran
58,KR,4645,Master,Zerg
58,KR,4645,Master,Random
58,KR,4644,Master,Terran
58,KR,4644,Master,Terran
58,KR,4644,Master,Terran
58,KR,4643,Master,Terran
58,KR,4643,Master,Random
58,KR,4643,Master,Terran
58,KR,4642,Master,Terran
58,KR,4642,Master,Protoss
58,KR,4642,Master,Zerg
58,KR,4641,Master,Zerg
58,KR,4640,Master,Random
58,KR,4640,Master,Zerg
58,KR,4640,Master,Terran
58,KR,4640,Master,Protoss
58,KR,4639,Master,Zerg
58,KR,4638,Master,Protoss
58,KR,4638,Master,Terran
58,KR,4638,Master,Protoss
58,KR,4637,Master,Terran
58,KR,4635,Master,Zerg
58,KR,4635,Master,Terran
58,KR,4634,Master,Zerg
58,KR,4633,Master,Zerg
58,KR,4632,Master,Zerg
58,KR,4632,Master,Terran
58,KR,4632,Master,Zerg
58,KR,4632,Master,Terran
58,KR,4631,Master,Protoss
58,KR,4631,Master,Zerg
58,KR,4630,Master,Protoss
58,KR,4630,Master,Terran
58,KR,4629,Master,Zerg
58,KR,4629,Master,Terran
58,KR,4628,Master,Protoss
58,KR,4627,Master,Terran
58,KR,4627,Master,Protoss
58,KR,4626,Master,Random
58,KR,4626,Master,Zerg
58,KR,4626,Master,Protoss
58,KR,4625,Master,Zerg
58,KR,4625,Master,Protoss
58,KR,4625,Master,Protoss
58,KR,4624,Master,Protoss
58,KR,4623,Master,Terran
58,KR,4622,Master,Terran
58,KR,4622,Master,Zerg
58,KR,4621,Master,Zerg
58,KR,4621,Master,Zerg
58,KR,4620,Master,Protoss
58,KR,4620,Master,Zerg
58,KR,4620,Master,Protoss
58,KR,4619,Master,Protoss
58,KR,4617,Master,Terran
58,KR,4616,Master,Terran
58,KR,4615,Master,Zerg
58,KR,4615,Master,Terran
58,KR,4614,Master,Zerg
58,KR,4614,Master,Zerg
58,KR,4614,Master,Protoss
